,bug_id,commit,repo,filename,lineNumber,start time,end time
0,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,docs/autogen.py,120,2019-01-09 00:22:45+01:00,2019-01-29 10:33:27-08:00
1,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,docs/autogen.py,121,2019-01-09 00:22:45+01:00,2019-01-29 10:33:27-08:00
4,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,329,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
5,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,330,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
6,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,331,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
7,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,332,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
8,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,333,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
9,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,334,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
10,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,335,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
11,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,336,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
12,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,337,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
13,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,338,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
14,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,339,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
15,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,340,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
16,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,341,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
17,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,342,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
18,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,343,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
19,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,344,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
20,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,345,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
21,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,346,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
22,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,347,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
23,keras-9,0505393746d56ddacc34bb1c016dba79429c9ac9,keras,tests/test_doc_auto_generation.py,348,2019-01-09 00:22:45+01:00,2019-11-06 09:52:31+01:00
